Radius,1600-1d-15Kx_057_M3_Radius Histo.csv,1600-1d.2-15Kx_065_S2_Radius Histo.csv,1600-1d.2-15Kx_069_S8_Radius Histo.csv,1600-1d.2-15Kx_070_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
1.8198,0,0,0,0,0,0,0,0,0
1.8288,0,0,0,0,0,0,0,0,0
1.8378,0,0,0,0,0,0,0,0,0
1.8468,0,0,0,0,0,0,0,0,0
1.8559,0,0,0,0,0,0,0,0,0
1.8649,0,0,0,0,0,0,0,0,0
1.8739,0,0,0,0,0,0,0,0,0
1.8829,0,0,0,0,0,0,0,0,0
1.8919,0,0,0,0,0,0,0,0,0
1.9009,0,0,0,0,0,0,0,0,0
1.9099,0,0,0,0,0,0,0,0,0
1.9189,0,0,0,0,0,0,0,0,0
1.9279,0,0,0,0,0,0,0,0,0
1.9369,0,0,0,0,0,0,0,0,0
1.9459,0,0,0,0,0,0,0,0,0
1.9550,0,0,0,0,0,0,0,0,0
1.9640,0,0,0,0,0,0,0,0,0
1.9730,0,0,0,0,0,0,0,0,0
1.9820,0,0,0,0,0,0,0,0,0
1.9910,0,0,0,0,0,0,0,0,0
2.0000,0,0,0,0,0,0,0,0,0
2.0090,0,0,0,0,0,0,0,0,0
2.0180,0,0,0,0,0,0,0,0,0
2.0270,0,0,0,0,0,0,0,0,0
2.0360,0,0,0,0,0,0,0,0,0
2.0450,0,0,0,0,0,0,0,0,0
2.0541,0,0,0,0,0,0,0,0,0
2.0631,0,0,0,0,0,0,0,0,0
2.0721,0,0,0,0,0,0,0,0,0
2.0811,0,0,0,0,0,0,0,0,0
2.0901,0,0,0,0,0,0,0,0,0
2.0991,0,0,0,0,0,0,0,0,0
2.1081,0,0,0,0,0,0,0,0,0
2.1171,0,0,0,0,0,0,0,0,0
2.1261,0,0,0,0,0,0,0,0,0
2.1351,0,0,0,0,0,0,0,0,0
2.1441,0,0,0,0,0,0,0,0,0
2.1532,0,0,0,0,0,0,0,0,0
2.1622,0,0,0,0,0,0,0,0,0
2.1712,0,0,0,0,0,0,0,0,0
2.1802,0,0,0,0,0,0,0,0,0
2.1892,0,0,0,0,0,0,0,0,0
2.1982,0,0,0,0,0,0,0,0,0
2.2072,0,0,0,0,0,0,0,0,0
2.2162,0,0,0,0,0,0,0,0,0
2.2252,0,0,0,0,0,0,0,0,0
2.2342,0,0,0,0,0,0,0,0,0
2.2432,0,0,0,0,0,0,0,0,0
2.2523,0,0,0,0,0,0,0,0,0
2.2613,0,0,0,0,0,0,0,0,0
2.2703,0,0,0,0,0,0,0,0,0
2.2793,0,0,0,0,0,0,0,0,0
2.2883,0,0,0,0,0,0,0,0,0
2.2973,0,0,0,0,0,0,0,0,0
