Radius,1600-3d-3Kx_093_S5_Radius Histo.csv,1600-3d-3Kx_097_S5_Radius Histo.csv,1600-3d-3Kx_102_M1_Radius Histo.csv,1600-3d.2-3Kx_107_S6_Radius Histo.csv,1600-3d.2-3Kx_111_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
6.9820,0,0,0,0,0,0,0,0,0,0
7.0270,0,0,0,0,0,0,0,0,0,0
7.0721,0,0,0,0,0,0,0,0,0,0
7.1171,0,0,0,0,0,0,0,0,0,0
7.1622,0,0,0,0,0,0,0,0,0,0
7.2072,0,0,0,0,0,0,0,0,0,0
7.2523,0,0,0,0,0,0,0,0,0,0
7.2973,0,0,0,0,0,0,0,0,0,0
7.3423,0,0,0,0,0,0,0,0,0,0
7.3874,0,0,0,0,0,0,0,0,0,0
7.4324,0,0,0,0,0,0,0,0,0,0
7.4775,0,0,0,0,0,0,0,0,0,0
7.5225,0,0,0,0,0,0,0,0,0,0
7.5676,0,0,0,0,0,0,0,0,0,0
7.6126,0,0,0,0,0,0,0,0,0,0
7.6577,0,0,0,0,0,0,0,0,0,0
7.7027,0,0,0,0,0,0,0,0,0,0
7.7477,0,0,0,0,0,0,0,0,0,0
7.7928,0,0,0,0,0,0,0,0,0,0
7.8378,0,0,0,0,0,0,0,0,0,0
7.8829,0,0,0,0,0,0,0,0,0,0
7.9279,0,0,0,0,0,0,0,0,0,0
7.9730,0,0,0,0,0,0,0,0,0,0
8.0180,0,0,0,0,0,0,0,0,0,0
8.0631,0,0,0,0,0,0,0,0,0,0
8.1081,0,0,0,0,0,0,0,0,0,0
8.1532,0,0,0,0,0,0,0,0,0,0
8.1982,0,0,0,0,0,0,0,0,0,0
8.2432,0,0,0,0,0,0,0,0,0,0
8.2883,0,0,0,0,0,0,0,0,0,0
8.3333,0,0,0,0,0,0,0,0,0,0
8.3784,0,0,0,0,0,0,0,0,0,0
8.4234,0,0,0,0,0,0,0,0,0,0
8.4685,0,0,0,0,0,0,0,0,0,0
8.5135,0,0,0,0,0,0,0,0,0,0
8.5586,0,0,0,0,0,0,0,0,0,0
8.6036,0,0,0,0,0,0,0,0,0,0
